country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Denmark,10,8,6,5,1,4,3,3,0,0,2,3,2,2,2,2,2,1,1,1,1
Dominican Republic,410,330,250,280,250,120,270,250,250,100,240,240,240,290,280,300,280,270,260,240,270
Algeria,13,12,10,15,18,23,28,32,35,40,47,50,56,57,64,69,68,69,71,56,66
Ecuador,130,96,84,95,88,66,75,110,95,110,100,140,150,190,180,150,190,200,210,220,260
Egypt,15,13,11,11,11,12,16,17,19,17,22,25,30,35,36,36,36,35,35,35,46
Eritrea,140,280,260,490,420,360,320,380,590,280,260,330,340,110,83,63,75,51,47,41,43
Spain,400,320,300,370,200,200,180,150,140,130,130,120,100,73,73,54,65,62,64,58,42
Estonia,9,1,9,19,6,7,9,11,8,8,6,9,9,7,5,5,5,3,3,4,2
Ethiopia,51k,43k,35k,29k,26k,25k,25k,24k,20k,18k,15k,12k,7200,8200,7300,4600,4100,3800,2200,2800,2500
Finland,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,0,0,0,2,0,0,0,0,0,0,1,1,1,1,4,2,3,3,5,8,10
France,240,220,200,200,150,130,110,110,100,90,100,88,87,87,67,69,80,70,76,76,57
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1500,1600,1800,1800,1500,950,810,1300,1400,890,860,890,630,450,650,600,570,550,560,570,580
UK,130,120,130,120,100,100,87,71,70,67,64,66,62,53,42,36,37,29,25,31,27
Georgia,1,1,4,5,5,5,6,7,9,9,10,10,15,25,23,25,16,14,17,14,17
Ghana,8400,7400,7000,6700,6700,7000,7300,7600,7300,5600,6600,5700,5900,5800,6000,5500,5700,5300,4800,5000,4900
Guinea,2900,1800,2300,2100,2000,2200,2100,2000,1900,2100,1200,1600,1700,1600,1700,1700,1800,1700,1700,1300,1300
Gambia,190,180,160,170,160,200,270,280,250,160,300,260,160,150,190,180,200,210,240,180,190
Guinea-Bissau,790,770,790,830,870,1000,990,1100,1100,1100,1200,1300,1200,1300,1200,880,1100,1100,1400,1200,1200
Equatorial Guinea,260,250,250,260,270,310,360,410,450,450,300,590,660,720,590,810,910,710,600,640,630
Greece,8,6,6,6,6,5,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,70,50,54,46,56,67,68,170,180,110,110,110,91,94,79,60,76,73,71,130,140
Guam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,16,16,22,25,26,32,27,56,41,59,58,47,66,49,39,39,40,42,27,27,41
"Hong Kong, China",0,0,0,0,0,10,8,6,5,10,7,7,5,5,6,6,7,8,6,10,9
Honduras,310,200,160,53,100,96,95,83,82,75,69,93,91,80,76,80,62,50,47,35,41
Croatia,2,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0
Haiti,4100,3900,3300,2800,2700,2900,3000,2100,2000,1800,1600,1400,1100,920,990,760,750,780,860,890,1100
Hungary,8,7,6,6,4,3,3,2,2,2,3,2,2,2,1,2,1,1,1,1,1
Indonesia,380,580,880,1300,2000,2800,5300,6200,5900,7000,6900,6600,6500,6700,6600,5900,4300,5300,5000,4700,4800
India,97k,88k,82k,77k,71k,72k,71k,84k,64k,59k,55k,53k,53k,51k,27k,21k,12k,13k,13k,9500,11k
Ireland,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
Iran,37,41,46,52,56,60,70,77,80,85,85,88,85,79,65,57,150,100,88,80,100
Iraq,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,5
Iceland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,7,7,6,9,3,4,3,3,3,5,3,5,3,3,5,3,4,2,2,2,3
Italy,110,120,100,110,87,73,67,39,55,54,60,43,37,33,36,36,40,41,41,34,37
Jamaica,10,9,7,14,9,9,8,7,6,12,9,6,6,5,6,7,6,7,4,3,2
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Japan,92,82,72,65,56,45,36,18,25,29,28,27,24,22,20,18,18,18,17,16,14
Kazakhstan,34,45,46,43,53,16,16,21,30,22,30,35,73,44,71,38,91,45,68,69,130
Kenya,44k,45k,47k,52k,55k,56k,60k,54k,47k,48k,43k,40k,37k,35k,32k,28k,25k,19k,13k,13k,12k
Kyrgyz Republic,1,1,3,4,7,10,13,17,25,17,25,28,28,39,41,44,49,50,43,29,79
Cambodia,1900,2200,3900,3400,3000,2500,2400,2200,1900,1700,1300,1100,830,760,520,480,470,420,400,410,470
Kiribati,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,28,29,34,38,71,73,59,49,46,49,51,53,48,43,41,39,41,40,39,37,31
Kuwait,1,0,1,1,0,1,0,0,1,2,2,4,2,0,0,0,1,1,1,1,1
Lao,28,38,51,64,80,89,95,100,110,110,110,130,150,170,180,190,190,300,270,210,180
Lebanon,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,1,2
Liberia,1800,1700,1200,1400,1100,1400,1300,1400,1400,1300,1300,1100,1200,1300,1800,870,950,910,1000,860,880
Libya,4,4,3,3,7,5,7,8,11,11,19,73,60,39,54,28,27,27,9,18,19
St. Lucia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,21,22,17,16,19,19,8,8,24,23,36,21,25,23,12,13,7,18,19,23,29
Lesotho,4300,6600,6100,5600,7000,7800,7400,7000,8200,8100,4600,4100,6600,6100,5300,5100,4600,4200,3800,3600,3400
Lithuania,21,21,19,20,1,13,13,11,10,55,9,8,8,11,10,11,9,9,7,5,4
Luxembourg,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,44,42,36,31,9,13,11,13,17,17,18,17,27,10,30,24,15,12,7,7,6
"Macao, China",0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0
Morocco,77,68,69,62,64,73,82,26,22,22,100,100,32,110,94,93,94,88,80,74,96
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,46,50,49,55,63,1,79,38,46,47,51,50,58,57,64,65,64,57,54,61,140
Madagascar,36,47,60,69,89,110,210,250,290,320,54,380,490,550,540,620,690,710,380,280,290
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,340,300,250,260,200,260,270,300,310,270,290,340,470,440,420,700,800,790,640,800,1500
Marshall Islands,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,920,790,720,690,680,700,720,560,640,430,590,740,260,710,660,540,510,360,310,300,290
Malta,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,2,0,2,1,0
Myanmar,2600,3100,3600,4100,4600,5000,5400,5400,5300,5300,5500,9400,8100,7400,8800,5700,5400,4800,3700,3100,2900
Montenegro,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,1,0,1,1,2,2,3,4,9,0,3,5,8,9,9,11,17,14,9,9,9
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,20k,20k,19k,18k,19k,20k,21k,15k,20k,22k,21k,23k,21k,18k,17k,18k,12k,7800,6000,5600,6100
Mauritania,230,210,190,140,140,190,170,150,100,140,130,140,100,100,86,82,65,53,46,37,36
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,7,5,6,1,1,1,2,2,3,2,2,2,3,6,4,4,5,6,8,9,9
Malawi,13k,13k,13k,12k,13k,14k,15k,15k,14k,15k,18k,14k,12k,11k,9300,7700,6500,5200,5000,4200,4200
Malaysia,320,270,230,270,210,400,370,260,420,390,360,360,280,350,340,240,330,320,340,310,420
Namibia,4500,4500,5200,5200,5400,5700,5800,5800,4500,2100,2200,3000,2700,2500,2400,1900,1800,1600,1500,1300,1300
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,1600,1300,1100,920,880,810,790,730,910,840,830,480,450,410,500,410,400,330,310,260,250
Nigeria,45k,39k,38k,37k,36k,38k,42k,43k,54k,52k,52k,56k,52k,50k,46k,42k,39k,35k,32k,27k,28k
Nicaragua,25,22,18,19,18,17,19,24,25,25,27,31,32,31,29,35,31,31,33,31,50
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,21,23,21,18,9,13,10,8,8,9,8,8,7,6,5,5,6,7,6,5,4
Curaçao,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Norway,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1
Nepal,210,300,400,520,640,760,840,1100,800,720,700,650,570,520,490,460,360,360,280,220,210
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,3,3,2,3,2,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Oman,5,4,3,3,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2
Pakistan,6,0,0,12,18,29,130,220,320,470,610,930,1300,1600,3600,980,970,850,1300,1900,2000
Panama,47,59,49,48,50,59,68,72,83,61,68,70,64,62,34,67,80,110,90,79,78
Peru,740,610,520,430,440,470,520,570,580,130,170,560,530,490,480,490,460,380,450,490,490
Philippines,16,20,26,33,41,51,62,68,77,94,120,140,150,180,220,240,280,320,370,420,490
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,270,260,320,340,390,470,550,550,510,410,670,690,540,490,390,400,360,410,360,310,330
Poland,59,52,49,45,35,29,24,21,19,19,18,19,16,15,13,13,13,12,12,12,8
Puerto Rico,0,0,0,0,9,7,5,5,5,2,3,2,3,2,1,2,1,2,1,1,1
Portugal,240,230,210,180,190,160,130,110,85,90,65,74,67,60,69,61,51,42,33,36,28
Paraguay,34,32,30,31,31,30,36,9,34,35,9,56,39,46,46,43,49,45,47,49,110
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,100,92,89,87,86,86,90,92,63,93,62,82,80,86,88,76,68,54,58,43,100
Russia,200,230,270,310,470,470,630,720,690,960,950,1200,1300,1000,1000,1000,1700,1600,1600,1500,1700
Rwanda,840,680,690,750,700,940,920,810,710,680,610,490,450,370,380,390,330,320,310,320,320
Saudi Arabia,10,9,9,8,8,7,7,7,7,8,19,15,15,7,6,7,13,20,8,12,12
Serbia and Montenegro,0,0,0,0,0,,,,,,,,,,,,,,,,
Sudan,620,550,540,560,620,690,1200,2600,690,740,780,560,610,570,500,440,330,270,230,190,180
Senegal,710,650,630,550,580,570,600,620,570,560,520,550,420,350,320,310,310,300,250,270,270
Singapore,33,28,26,25,20,17,14,12,13,15,14,16,11,13,12,8,8,7,6,8,5
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,2100,1900,1900,1900,2000,1000,2100,910,850,870,700,650,830,1000,960,1200,1000,760,700,680,690
El Salvador,34,29,29,37,30,62,51,64,57,59,52,56,61,59,59,54,58,49,60,55,86
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,400,380,430,740,680,710,820,900,840,860,610,760,620,660,580,330,300,200,230,170,180
Serbia,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
South Sudan,,,,,,,,,,,,1800,4200,2000,1600,1400,1400,1500,1100,920,720
Sao Tome and Principe,0,0,0,2,0,3,0,5,4,7,9,9,11,19,18,16,8,7,5,5,4
Suriname,6,4,5,8,7,6,7,7,9,16,19,12,10,9,12,12,8,7,7,10,13
Slovak Republic,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Slovenia,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,3,3,2,2,2,1
Eswatini,2400,2500,2800,3300,3400,3800,4000,4400,4500,5100,2300,3900,3200,2900,2400,1800,1500,1400,1100,710,640
Sint Maarten (Dutch part),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Syria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,1900,1700,1600,1700,1700,1600,1800,2000,1900,1700,1600,1500,1600,1500,1400,1700,1900,1700,1400,1400,1500
Togo,430,390,390,420,430,470,500,690,520,420,470,460,390,330,300,240,160,110,100,79,91
Thailand,28k,22k,20k,18k,16k,16k,12k,12k,11k,9100,7700,6800,6600,6800,5600,5600,4000,3000,2300,1900,2000
Tajikistan,0,0,1,2,4,7,11,15,22,57,59,38,27,48,49,44,52,63,76,57,72
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,46,47,50,73,70,84,100,130,160,150,170,160,180,190,160,140,130,130,140,130,200
Timor-Leste,,,8,9,9,12,16,9,9,13,17,9,11,1,1,20,13,21,27,20,12
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,17,18,11,13,13,12,2,14,13,17,10,15,15,11,13,7,9,5,8,7,7
Tunisia,1,1,1,1,2,2,3,4,5,5,6,9,11,10,4,5,10,4,8,11,15
Turkey,3,3,3,3,4,6,7,8,9,11,12,14,15,10,13,17,17,19,19,27,46
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,53k,48k,48k,46k,48k,52k,56k,54k,53k,51k,40k,39k,36k,30k,29k,28k,25k,21k,16k,12k,9800
Uganda,18k,14k,12k,10k,9900,11k,12k,12k,13k,13k,13k,11k,12k,12k,12k,13k,14k,13k,11k,8500,8700
Ukraine,2900,2500,2200,820,1300,2400,2300,1300,1600,1800,2600,1800,1000,1700,2200,2500,2100,2300,2200,2100,2300
Uruguay,20,21,15,17,24,17,17,19,21,24,24,24,27,26,29,29,28,30,34,30,28
USA,830,760,660,590,510,430,350,290,270,240,200,170,150,120,110,100,100,96,91,83,68
Uzbekistan,23,21,22,26,45,40,49,110,130,140,210,360,500,250,240,510,310,370,290,240,280
St. Vincent and the Grenadines,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Venezuela,390,390,380,390,370,330,280,230,210,190,170,220,220,210,190,220,260,250,250,230,310
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,3100,3000,6000,6100,6200,6900,7300,4500,3600,4000,3600,3500,5700,4900,4000,3100,2300,2400,2200,2000,1800
Vanuatu,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0
Wallis et Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,17,16,18,21,23,28,32,32,31,29,26,29,23,22,29,43,34,33,34,31,36
South Africa,116k,144k,136k,155k,156k,176k,173k,174k,164k,158k,158k,87k,63k,53k,48k,44k,43k,40k,38k,36k,36k
Zambia,20k,20k,15k,12k,13k,14k,15k,15k,16k,15k,14k,14k,14k,14k,13k,13k,12k,13k,13k,9500,9100
Zimbabwe,14k,12k,11k,11k,11k,13k,14k,15k,15k,11k,8000,8600,8300,5900,5700,4800,4200,3800,3500,4600,5900
